"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0,1.0000000000000000E+01,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.01,9.9000000317068171E+00,9.9999968293183472E-02,0.0000000000000000E+00,0.0000000000000000E+00
0.02,9.8309086577609222E+00,1.9999304167657272E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.03,9.7897167945820183E+00,2.9996343008472404E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.04,9.7706865770698226E+00,3.9989534703441426E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.05,9.7659145636162421E+00,4.9977301211750946E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.06,9.7661069222408763E+00,5.9958065349287448E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.07,9.7614907169863372E+00,6.9930251037692925E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.08,9.7427720912683018E+00,7.9892283553245913E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.09,9.7020475542747207E+00,8.9842589775528681E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.1,9.6335791671090902E+00,9.9779598435841121E-01,0.0000000000000000E+00,0.0000000000000000E+00
0.11,9.5343577478142780E+00,1.0970174036532232E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.12,9.4043989646026009E+00,1.1960744874274047E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.13,9.2467433333816373E+00,1.2949515934191218E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.14,9.0671601195761458E+00,1.3936331077871187E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.15,8.8735841281574253E+00,1.4921034475763242E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.16,8.6753405125551684E+00,1.5903470631785812E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.17,8.4822334833161239E+00,1.6883484407881100E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.18,8.3035881198154211E+00,1.7860921048513179E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.19,8.1473390789269224E+00,1.8835626205105689E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.2,8.0192554039584696E+00,1.9807445960415264E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.21,7.9223773147163108E+00,2.0776226852836848E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.22,7.8567201093737840E+00,2.1741815900637063E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.23,7.8192741620555575E+00,2.2704060626111797E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.24,7.8043010161378117E+00,2.3662809079664209E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.25,7.8038965893538172E+00,2.4617909863799308E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.26,7.8087663600306074E+00,2.5569212157031407E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.27,7.8091366535932076E+00,2.6516565737700559E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.28,7.7957128260313278E+00,2.7459821007694303E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.29,7.7605905504229105E+00,2.8398829016070946E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.3,7.6980310032094357E+00,2.9333441482580636E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.31,7.6050240693594446E+00,3.0263510821080541E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.32,7.4815844357459627E+00,3.1188890162840410E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.33,7.3307515888272725E+00,3.2109433379734837E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.34,7.1582937166314009E+00,3.3024995107318600E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.35,6.9721444989556067E+00,3.3935430767781387E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.36,6.7816279164559150E+00,3.4840596592778303E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.37,6.5965469594909729E+00,3.5740349646132570E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.38,6.4262254400260561E+00,3.6634547846406789E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.39,6.2785967005035612E+00,3.7523049989339268E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.4,6.1594284229858145E+00,3.8405715770141793E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.41,6.0717594194344553E+00,3.9282405805655385E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.42,6.0156035338014364E+00,4.0152981656360529E+00,0.0000000000000000E+00,0.0000000000000000E+00
0.43,5.9879496398429009E+00,4.0017305848238358E+00,1.0000000000000009E-01,0.0000000000000000E+00
0.44,5.9830577346562901E+00,3.9875241894479414E+00,2.0000000000000018E-01,0.0000000000000000E+00
0.45,5.9930221440300988E+00,3.9726654317036485E+00,3.0000000000000027E-01,0.0000000000000000E+00
0.46,6.0085467089319309E+00,3.9571408668018160E+00,4.0000000000000036E-01,0.0000000000000000E+00
0.47,6.0198560722712902E+00,3.9409371550919721E+00,5.0000000000000044E-01,0.0000000000000000E+00
0.48,6.0176538626319589E+00,3.9240410641687982E+00,6.0000000000000053E-01,0.0000000000000000E+00
0.49,5.9940339810683234E+00,3.9064394709616796E+00,7.0000000000000062E-01,0.0000000000000000E+00
0.5,5.9432557876605054E+00,3.8881193638069917E+00,8.0000000000000016E-01,0.0000000000000000E+00
0.51,5.8623073069647056E+00,3.8690678445027906E+00,9.0000000000000024E-01,0.0000000000000000E+00
0.52,5.7512013216844107E+00,3.8492721303455899E+00,1.0000000000000004E+00,0.0000000000000000E+00
0.53,5.6129753706518555E+00,3.8287195561488971E+00,1.1000000000000005E+00,0.0000000000000000E+00
0.54,5.4533956511200623E+00,3.8073975762431944E+00,1.2000000000000006E+00,0.0000000000000000E+00
0.55,5.2803938092766964E+00,3.7852937664570447E+00,1.3000000000000007E+00,0.0000000000000000E+00
0.56,5.1032917496547299E+00,3.7623958260790116E+00,1.4000000000000008E+00,0.0000000000000000E+00
0.57,4.9318903443041409E+00,3.7386915798000850E+00,1.5000000000000009E+00,0.0000000000000000E+00
0.58,4.7755112450304269E+00,3.7141689796363044E+00,1.6000000000000010E+00,0.0000000000000000E+00
0.59,4.6420855926062110E+00,3.6888161068312737E+00,1.7000000000000011E+00,0.0000000000000000E+00
0.6,4.5373788262617190E+00,3.6626211737382719E+00,1.8000000000000012E+00,0.0000000000000000E+00
0.61,4.4644274743183328E+00,3.6355725256816589E+00,1.9000000000000012E+00,0.0000000000000000E+00
0.62,4.4232430566402030E+00,3.6076586427972841E+00,2.0000000000000013E+00,0.0000000000000000E+00
0.63,4.4108120828151289E+00,3.5788681418516060E+00,2.1000000000000014E+00,0.0000000000000000E+00
