"time","TRes","heatCapacitor_T","switch_Controll"
0,2.9314999999999998E+002,2.0000000000000000E+001,0
0.02,2.9334973534970391E+002,2.0199735349703928E+001,0
0.04,2.9354891554726112E+002,2.0398915547261140E+001,0
0.06,2.9374754237826056E+002,2.0597542378260584E+001,0
0.08,2.9394561762074534E+002,2.0795617620745361E+001,0
0.1,2.9414314304525942E+002,2.0993143045259444E+001,0
0.12,2.9434012041489319E+002,2.1190120414893215E+001,0
0.14,2.9453655148532937E+002,2.1386551485329392E+001,0
0.16,2.9473243800488791E+002,2.1582438004887933E+001,0
0.18,2.9492778171457053E+002,2.1777781714570551E+001,0
0.2,2.9512258434810536E+002,2.1972584348105386E+001,0
0.22,2.9531684763199092E+002,2.2166847631990947E+001,0
0.24,2.9551057328553946E+002,2.2360573285539488E+001,0
0.26,2.9570376302092046E+002,2.2553763020920485E+001,0
0.28,2.9589641854320314E+002,2.2746418543203163E+001,0
0.3,2.9608854155039904E+002,2.2938541550399066E+001,0
0.32,2.9628013373350444E+002,2.3130133733504465E+001,0
0.34,2.9647119677654160E+002,2.3321196776541626E+001,0
0.36,2.9666173235660068E+002,2.3511732356600703E+001,0
0.38,2.9685174214388036E+002,2.3701742143880381E+001,0
0.4,2.9704122780172884E+002,2.3891227801728860E+001,0
0.42,2.9723019098668397E+002,2.4080190986683988E+001,0
0.44,2.9741863334851371E+002,2.4268633348513731E+001,0
0.46,2.9760655653025503E+002,2.4456556530255057E+001,0
0.48,2.9779396216825461E+002,2.4643962168254632E+001,0
0.5,2.9798085189220615E+002,2.4830851892206169E+001,0
0.52,2.9816722732519037E+002,2.5017227325190390E+001,0
0.54,2.9835309008371325E+002,2.5203090083713278E+001,0
0.56,2.9853844177774386E+002,2.5388441777743878E+001,0
0.58,2.9872328401075185E+002,2.5573284010751877E+001,0
0.6,2.9890761837974549E+002,2.5757618379745509E+001,0
0.62,2.9909144647530837E+002,2.5941446475308396E+001,0
0.64,2.9914786431196313E+002,2.5997864311963156E+001,1
0.66,2.9913587997449133E+002,2.5985879974491354E+001,1
0.68,2.9912391958293790E+002,2.5973919582937924E+001,1
0.7,2.9911198308945632E+002,2.5961983089456339E+001,1
0.72,2.9910007044629577E+002,2.5950070446295797E+001,1
0.74,2.9908818160580103E+002,2.5938181605801049E+001,1
0.76,2.9907631652041198E+002,2.5926316520412001E+001,1
0.78,2.9906447514266347E+002,2.5914475142663491E+001,1
0.8,2.9905265742518526E+002,2.5902657425185282E+001,1
0.82,2.9904086332070176E+002,2.5890863320701783E+001,1
