"time","WKM1_live","FloMGT1_flourWeight","SyrMGT1_syrup1Weight","SyrMGT1_syrup2Weight","SyrMGT1_syrup3Weight","MGT1_cycleEnd","FloMGT1_weighingRequest","SyrMGT1_weighingRequest","KNEAD1_kneadingRequest","generalFaultGenFLT1","KNEAD1_kneadingOK","FloMGT1_weighingOk","SyrMGT1_weighingOk","WKM1_endCycleRequest","KNEAD1_cycleInProgress","WKM1_autoMode","WKM1_manualMode","F3MiXExV1_acknowledgePB","WKM1_endCyclePB","WKM1_startCyclePB","WKM1_autoSwitch","WKM1_manualSwitch","WKM1_emergencyStop","percentOpening","F1ExtV1_generalFault","F1ExtV1_openedSensorFB","F1ExtV1_closedSensorFB","percentOpening2","outputFlow","F1AExt1_generalFault","F1AExt1_openedSensorFB","F1AExt1_closedSensorFB","percentOpening3","outputFlow2","F1AArr1_generalFault","F1AArr1_openedSensorFB","F1AArr1_closedSensorFB","outputValue","FloMGT1_weighedWeight","value","outputFlow3","tankLevel","F2ArVSir1_openedSensorFB","F2ArVSir1_closedSensorFB","percentOpening4","F2ArVSir1_generalFault","outputFlow42","F2ArVSir1_autoOpenCmd","F2ArVSir1_autoCloseCmd","F2ArVSir2_autoOpenCmd","F2ArVSir2_autoCloseCmd","F2ArVSir3_autoOpenCmd","F2ArVSir3_autoCloseCmd","F2SirExV1_autoOpenCmd","F2SirExV1_autoCloseCmd","outputFlow4","F2ArVSir2_openedSensorFB","F2ArVSir2_closedSensorFB","F2ArVSir2_generalFault","outputFlow22","percentOpening22","F2ArVSir3_openedSensorFB","F2ArVSir3_closedSensorFB","F2ArVSir3_generalFault","outputFlow32","percentOpening32","F2SirExV1_openedSensorFB","F2SirExV1_closedSensorFB","F2SirExV1_generalFault","percentOpening42","tankLevel2","value2","flow","SyrMGT1_weighingWeight","outputValue2","speedVal","speedPercent","F3CleanV1_openedSensorFB","F3CleanV1_closedSensorFB","F3CleanV1_generalFault","outputFlow5","percentOpening5","F3MiXExV1_openedSensorFB","F3MiXExV1_closedSensorFB","F3MiXExV1_generalFault","outputFlow23","percentOpening23","flow2","outputFlow33","tankLevel3","value3","KNEAD1_mixtureLevel","outputValue3"
0.0000000000000000E+000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0.0000000000000000E+000,0,0.0000000000000000E+000,0,0,0,0,0,0,0,0,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0,0,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
6.0000000000000031E-001,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,7.6388895511627197E-001,0,7.6388895511627197E-001,2.7777779102325439E-001,7.6388895511627197E-001,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
1.2000000000000008E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,2.4305551052093506E+000,2,2.4305551052093506E+000,2.7777779102325439E-001,2.4305551052093506E+000,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
1.8000000000000014E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,4.0972213745117187E+000,4,4.0972213745117187E+000,2.7777779102325439E-001,4.0972213745117187E+000,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
2.4099999999999926E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,5.9027762413024902E+000,5,5.9027762413024902E+000,2.7777779102325439E-001,5.9027762413024902E+000,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
3.0099999999999798E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,7.5694422721862793E+000,7,7.5694422721862793E+000,2.7777779102325439E-001,7.5694422721862793E+000,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
3.6099999999999670E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,9.2361125946044922E+000,9,9.2361125946044922E+000,2.7777779102325439E-001,9.2361125946044922E+000,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
4.2099999999999547E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,1.0902784347534180E+001,10,1.0902784347534180E+001,2.7777779102325439E-001,1.0902784347534180E+001,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
4.8099999999999419E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,1.2569456100463867E+001,12,1.2569456100463867E+001,2.7777779102325439E-001,1.2569456100463867E+001,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
5.4099999999999291E+000,1,200,150,100,50,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0000000000000000E+000,0,0,1,0.0000000000000000E+000,0.0000000000000000E+000,0,0,1,1.0000000000000000E+002,1.3888889551162720E-001,0,1,0,1.4236127853393555E+001,14,1.4236127853393555E+001,2.7777779102325439E-001,1.4236127853393555E+001,0,1,0.0000000000000000E+000,0,0.0000000000000000E+000,0,1,0,1,0,1,0,1,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0,1,0,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0,0.0000000000000000E+000
